prad_1,moc_1,napiecie_1,prad_2,moc_2,napiecie_2,prad_3,moc_3,napiecie_3,prad_4,moc_4,napiecie_4
24.469,0.0010494,1.3285,24.469,0.00085434,1.3193,24.469,0.00059237,1.3126,24.469,0.00026401,1.304
24.768,0.0010596,1.3328,24.768,0.00086404,1.3273,24.768,0.00060207,1.3212,24.768,0.00026605,1.312
25.066,0.0010668,1.3408,25.066,0.00087936,1.3316,25.066,0.00061943,1.3261,25.066,0.00027525,1.3193
25.364,0.001103,1.3488,25.364,0.00090642,1.3396,25.364,0.00065365,1.334,25.364,0.00031252,1.3224
25.663,0.0011204,1.3543,25.663,0.00092225,1.3475,25.663,0.0006659,1.3402,25.663,0.00032478,1.331
25.961,0.0011183,1.3629,25.961,0.00095136,1.3537,25.961,0.00067765,1.3451,25.961,0.00033857,1.3383
26.26,0.0011541,1.3696,26.26,0.00096821,1.3592,26.26,0.00069041,1.3524,26.26,0.00035899,1.3432
26.558,0.0011755,1.3757,26.558,0.00098251,1.3659,26.558,0.00070114,1.3586,26.558,0.00037534,1.3481
26.856,0.0011919,1.3812,26.856,0.00099119,1.372,26.856,0.00072769,1.3635,26.856,0.0003927,1.3567
27.155,0.0012046,1.3904,27.155,0.0010137,1.3794,27.155,0.00075527,1.372,27.155,0.0004024,1.3629
27.453,0.0012205,1.3953,27.453,0.001031,1.3831,27.453,0.00077263,1.3782,27.453,0.00041823,1.372
27.752,0.0012481,1.4027,27.752,0.0010601,1.3917,27.752,0.00078438,1.3855,27.752,0.00043304,1.3745
28.05,0.0012542,1.4088,28.05,0.0010668,1.3978,28.05,0.00080072,1.3929,28.05,0.00044427,1.3831
28.348,0.0012695,1.418,28.348,0.0010719,1.407,28.348,0.00081297,1.3984,28.348,0.00046623,1.3904
28.647,0.0013007,1.4254,28.647,0.0011076,1.41,28.647,0.00083748,1.4045,28.647,0.00049279,1.3941
28.945,0.0013088,1.4303,28.945,0.0011296,1.4174,28.945,0.00084719,1.4106,28.945,0.00049228,1.4002
29.244,0.0013354,1.437,29.244,0.0011332,1.4217,29.244,0.00087527,1.418,29.244,0.00051628,1.4094
29.542,0.0013344,1.4456,29.542,0.0011521,1.4315,29.542,0.00088702,1.4254,29.542,0.00053926,1.4156
29.84,0.0013778,1.4529,29.84,0.0011827,1.4364,29.84,0.0008957,1.4309,29.84,0.00055151,1.4223
