Time,Power,Distance,Gain
0.07174712999999999,1023.0,0.7732432662543334,-0.12175309927742864
0.07199712,1028.0,0.7987348025044768,-0.10997086644203471
0.07224710999999999,1027.0,0.8242263387546188,-0.11232220420358595
0.0724971,1023.0,0.8497178750047621,-0.12175309927742864
0.07274709,1032.0,0.8752094112549056,-0.10059089400126112
0.07299707999999999,1025.0,0.9007009475050476,-0.11703253184400297
0.07324707,1018.0,0.926192483755191,-0.13359961047848537
0.07349705999999999,1022.0,0.951684020005333,-0.12411723684814455
0.07374705,1020.0,0.9771755562554764,-0.12885324772037915
0.07399704,1035.0,1.0026670925056198,-0.09358240930726008
0.07424702999999999,1031.0,1.0281586287557618,-0.10293209127735377
0.07449702,1017.0,1.0536501650059054,-0.13597668797593862
0.07474700999999999,999.0,1.0791417012560474,-0.17921515090538914
0.074997,993.0,1.1046332375061907,-0.19382143767987556
0.07524699,994.0,1.1301247737563342,-0.19138022354492557
0.07549697999999999,988.0,1.1556163100064762,-0.20606884578964393
0.07574697,990.0,1.1811078462566196,-0.2011615901872071
0.07599695999999999,991.0,1.2065993825067614,-0.19871211479890658
0.07624695,967.0,1.232090918756905,-0.25827588217052355
0.07649694,962.0,1.2575824550070482,-0.2708933454302742
0.07674692999999999,968.0,1.2830739912571902,-0.25576116346100275
0.07699692,972.0,1.3085655275073338,-0.24573131006047055
0.07724690999999999,982.0,1.3340570637574758,-0.22085750423578976
0.0774969,981.0,1.3595486000076191,-0.22333210230546252
0.07774689,977.0,1.3850401362577627,-0.23325879175008654
0.07799687999999999,962.0,1.4105316725079047,-0.2708933454302742
0.07824687,957.0,1.436023208758048,-0.28358455187159276
0.07849685999999999,963.0,1.4615147450081902,-0.2683639808029914
0.07874685,967.0,1.4870062812583336,-0.25827588217052355
0.07899684,967.0,1.512497817508477,-0.25827588217052355
0.07924682999999999,973.0,1.5379893537586191,-0.24323106863503116
0.07949682,970.0,1.5634808900087624,-0.25074044588185124
0.07974680999999999,976.0,1.5889724262589042,-0.23574757081629513
0.07999679999999999,975.0,1.6144639625090476,-0.23823920560802997
0.08024679,963.0,1.639955498759191,-0.2683639808029914
0.08049677999999999,951.0,1.665447035009333,-0.29891256249871634
0.08074677,941.0,1.6909385712594764,-0.32470216527699114
0.08099675999999999,940.0,1.7164301075096187,-0.3272980519482232
0.08124674999999999,935.0,1.741921643759762,-0.3403242391415948
0.08149674,930.0,1.7674131800099053,-0.35342903939747417
0.08174672999999999,942.0,1.7929047162600475,-0.3221093781534702
0.08199672,944.0,1.8183962525101909,-0.31693307300384194
0.08224671,937.0,1.8438877887603329,-0.33510438357747707
0.08249669999999999,950.0,1.8693793250104764,-0.30147778323528895
0.08274669,956.0,1.8948708612606198,-0.2861317183743879
0.08299667999999999,931.0,1.9203623975107615,-0.3508017447285883
0.08324667,921.0,1.945853933760905,-0.3772188430931508
0.08349666,921.0,1.971345470011047,-0.3772188430931508
0.08374665,932.0,1.9968370062611904,-0.3481776250190216
0.08399664,937.0,2.022328542511334,-0.33510438357747707
0.08424663,934.0,2.047820078761476,-0.34293887984832355
0.08449662,926.0,2.0733116150116193,-0.3639701219301261
0.08474661,921.0,2.098803151261761,-0.3772188430931508
0.0849966,918.0,2.1242946875119046,-0.38520705048953807
0.08524659000000001,913.0,2.149786223762048,-0.3985863813371403
0.08549658,913.0,2.1752777600121904,-0.3985863813371403
0.08574657000000001,919.0,2.2007692962623335,-0.3825410482171262
0.08599656,915.0,2.226260832512477,-0.39322475268410345
0.08624655,907.0,2.251752368762619,-0.41475115895456216
0.08649654000000001,892.0,2.2772439050127624,-0.45569753084157516
